date,symbol,expiry,strike,option_type,open,close,contracts,oi,underlying,source
2022-01-07,NIFTY,2022-01-13,19050.0,CE,1.55,1.0,6904,45000,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,19100.0,CE,1.4,1.05,17403,123750,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,19150.0,CE,1.45,1.0,5817,23250,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,19200.0,CE,1.5,1.0,19882,191650,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,19250.0,CE,1.3,0.95,10531,28450,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,19300.0,CE,1.2,0.95,15058,132600,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,19350.0,CE,1.55,0.95,5992,32950,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,19400.0,CE,1.4,0.9,13358,73300,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,19450.0,CE,1.4,1.05,12444,15850,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,19500.0,CE,1.25,0.95,78064,1471450,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,19550.0,CE,1.3,1.0,7045,47400,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,19600.0,CE,1.2,0.95,15074,281250,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,15100.0,PE,1.6,0.95,34308,766000,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,15150.0,PE,1.3,1.1,7597,2250,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,15200.0,PE,2.2,1.05,6776,89150,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,15250.0,PE,1.4,1.0,3808,3500,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,15300.0,PE,1.95,1.05,11092,36050,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,15350.0,PE,1.6,1.1,5345,2000,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,15400.0,PE,2.1,1.15,5423,33400,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,15450.0,PE,1.9,1.3,1618,800,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,15500.0,PE,2.15,1.3,40469,1222100,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,15550.0,PE,2.65,1.35,2484,3100,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,15600.0,PE,2.35,1.35,8577,123400,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,15650.0,PE,2.4,1.55,1123,2450,,NSE_bhavcopy
