kind,file,status,local_path,bytes
option,options/NIFTY/2026-01-06.parquet,DOWNLOADED,/home/runner/.cache/huggingface/hub/datasets--thetrademarkk--india-index-options-1m/snapshots/0f4800e43e6f96cec0794369d78eb4d3c4211ef5/options/NIFTY/2026-01-06.parquet,2516561
option,options/NIFTY/2026-01-13.parquet,DOWNLOADED,/home/runner/.cache/huggingface/hub/datasets--thetrademarkk--india-index-options-1m/snapshots/0f4800e43e6f96cec0794369d78eb4d3c4211ef5/options/NIFTY/2026-01-13.parquet,2745876
option,options/NIFTY/2026-01-20.parquet,DOWNLOADED,/home/runner/.cache/huggingface/hub/datasets--thetrademarkk--india-index-options-1m/snapshots/0f4800e43e6f96cec0794369d78eb4d3c4211ef5/options/NIFTY/2026-01-20.parquet,2511052
option,options/NIFTY/2026-01-27.parquet,DOWNLOADED,/home/runner/.cache/huggingface/hub/datasets--thetrademarkk--india-index-options-1m/snapshots/0f4800e43e6f96cec0794369d78eb4d3c4211ef5/options/NIFTY/2026-01-27.parquet,3027081
option,options/NIFTY/2026-02-03.parquet,DOWNLOADED,/home/runner/.cache/huggingface/hub/datasets--thetrademarkk--india-index-options-1m/snapshots/0f4800e43e6f96cec0794369d78eb4d3c4211ef5/options/NIFTY/2026-02-03.parquet,3801732
option,options/NIFTY/2026-02-10.parquet,DOWNLOADED,/home/runner/.cache/huggingface/hub/datasets--thetrademarkk--india-index-options-1m/snapshots/0f4800e43e6f96cec0794369d78eb4d3c4211ef5/options/NIFTY/2026-02-10.parquet,3881019
option,options/NIFTY/2026-02-17.parquet,DOWNLOADED,/home/runner/.cache/huggingface/hub/datasets--thetrademarkk--india-index-options-1m/snapshots/0f4800e43e6f96cec0794369d78eb4d3c4211ef5/options/NIFTY/2026-02-17.parquet,2942870
option,options/NIFTY/2026-02-24.parquet,DOWNLOADED,/home/runner/.cache/huggingface/hub/datasets--thetrademarkk--india-index-options-1m/snapshots/0f4800e43e6f96cec0794369d78eb4d3c4211ef5/options/NIFTY/2026-02-24.parquet,3436213
option,options/NIFTY/2026-03-02.parquet,DOWNLOADED,/home/runner/.cache/huggingface/hub/datasets--thetrademarkk--india-index-options-1m/snapshots/0f4800e43e6f96cec0794369d78eb4d3c4211ef5/options/NIFTY/2026-03-02.parquet,3171303
option,options/NIFTY/2026-03-10.parquet,DOWNLOADED,/home/runner/.cache/huggingface/hub/datasets--thetrademarkk--india-index-options-1m/snapshots/0f4800e43e6f96cec0794369d78eb4d3c4211ef5/options/NIFTY/2026-03-10.parquet,3346222
option,options/NIFTY/2026-03-17.parquet,DOWNLOADED,/home/runner/.cache/huggingface/hub/datasets--thetrademarkk--india-index-options-1m/snapshots/0f4800e43e6f96cec0794369d78eb4d3c4211ef5/options/NIFTY/2026-03-17.parquet,4267040
option,options/NIFTY/2026-03-24.parquet,DOWNLOADED,/home/runner/.cache/huggingface/hub/datasets--thetrademarkk--india-index-options-1m/snapshots/0f4800e43e6f96cec0794369d78eb4d3c4211ef5/options/NIFTY/2026-03-24.parquet,4367783
