cycle_id,sample,previous_expiry,near_expiry,far_expiry,offset,offset_label,entry_date,status,status_detail,spot_open,strike,cbr,atm_distance_points,atm_distance_pct,pnl_inr,entry_near_pe,exit_near_pe,entry_near_ce,exit_near_ce,entry_far_ce,exit_far_ce,entry_far_pe,exit_far_pe,call_ratio,put_ratio,gate_pass,lot_near,lot_far,pnl_points
DEV_56,DEVELOPMENT,2023-03-02,2023-03-09,2023-03-29,4,D+4,2023-03-09,EXECUTABLE,GATE_PASS,17772.05078125,17750.0,1.051021275390238,22.05078125,0.12407561469081653,42.49999999999909,35.0,150.1,44.0,0.15,212.0,136.75,160.45,243.3,4.818181818181818,4.584285714285714,True,50.0,50.0,0.8499999999999659
DEV_56,DEVELOPMENT,2023-03-02,2023-03-09,2023-03-29,5,D+5,2023-03-10,AFTER_NEAR_EXPIRY,,,,,,,,,,,,,,,,,,,,,
DEV_57,DEVELOPMENT,2023-03-09,2023-03-16,2023-04-06,-1,D-1,2023-03-08,EXECUTABLE,GATE_PASS,17665.75,17650.0,1.1488998377311177,15.75,0.08915556939275152,7694.999999999998,123.0,668.6,151.15,0.05,279.05,48.6,197.65,510.0,1.8461792920939464,1.606910569105691,True,50.0,50.0,153.89999999999998
DEV_57,DEVELOPMENT,2023-03-09,2023-03-16,2023-04-06,0,D0,2023-03-09,EXECUTABLE,GATE_FAIL,17772.05078125,17800.0,1.5757007200384958,27.94921875,0.15726501738047693,7232.499999999993,124.95,820.3,90.05,0.1,229.9,31.8,202.45,645.0,2.5530260966129927,1.6202480992396957,False,50.0,50.0,144.64999999999992
DEV_57,DEVELOPMENT,2023-03-09,2023-03-16,2023-04-06,1,D+1,2023-03-10,EXECUTABLE,GATE_PASS,17443.80078125,17450.0,0.7335276967930029,6.19921875,0.03553823405655618,11417.5,85.0,470.95,105.0,0.1,222.0,97.3,245.0,382.8,2.1142857142857143,2.8823529411764706,True,50.0,50.0,228.35000000000002
DEV_57,DEVELOPMENT,2023-03-09,2023-03-16,2023-04-06,2,D+2,2023-03-13,EXECUTABLE,GATE_FAIL,17421.900390625,17400.0,1.3539791584468632,21.900390625,0.12570609482295597,107.50000000000182,93.0,419.3,110.0,0.1,313.65,105.15,195.85,421.4,2.851363636363636,2.1059139784946237,False,50.0,50.0,2.150000000000091
DEV_57,DEVELOPMENT,2023-03-09,2023-03-16,2023-04-06,3,D+3,2023-03-14,EXECUTABLE,GATE_FAIL,17160.55078125,17200.0,1.476252723311547,39.44921875,0.22988317363975924,2105.0,121.0,222.1,90.0,0.15,280.0,184.65,255.0,308.5,3.111111111111111,2.1074380165289255,False,50.0,50.0,42.099999999999994
DEV_57,DEVELOPMENT,2023-03-09,2023-03-16,2023-04-06,4,D+4,2023-03-15,EXECUTABLE,GATE_FAIL,17166.44921875,17150.0,1.3900452488687782,16.44921875,0.09582190551109074,922.5000000000005,80.0,171.9,85.0,0.15,288.0,203.15,195.0,268.45,3.388235294117647,2.4375,False,50.0,50.0,18.450000000000017
DEV_57,DEVELOPMENT,2023-03-09,2023-03-16,2023-04-06,5,D+5,2023-03-16,EXECUTABLE,GATE_FAIL,16994.650390625,17000.0,1.8468922002953416,5.349609375,0.031478196091348144,889.9999999999998,80.0,23.0,52.0,1.8,275.15,289.4,229.2,218.85,5.2913461538461535,2.8649999999999998,False,50.0,50.0,17.799999999999997
DEV_58,DEVELOPMENT,2023-03-16,2023-03-23,2023-04-13,-1,D-1,2023-03-15,EXECUTABLE,GATE_FAIL,17166.44921875,17200.0,1.3081061027638656,33.55078125,0.1954439198372734,-1022.499999999998,150.5,117.3,149.75,0.2,328.0,188.8,252.0,249.6,2.1903171953255427,1.6744186046511629,False,50.0,50.0,-20.449999999999974
DEV_58,DEVELOPMENT,2023-03-16,2023-03-23,2023-04-13,0,D0,2023-03-16,EXECUTABLE,GATE_FAIL,16994.650390625,17000.0,1.3655945281326147,5.349609375,0.031478196091348144,-1385.000000000001,174.0,0.25,162.2,80.15,336.45,300.65,264.3,164.5,2.0742909987669544,1.5189655172413794,False,50.0,50.0,-27.700000000000017
DEV_58,DEVELOPMENT,2023-03-16,2023-03-23,2023-04-13,1,D+1,2023-03-17,EXECUTABLE,GATE_PASS,17111.80078125,17100.0,1.1705651934579544,11.80078125,0.06896282513369681,-1357.4999999999973,125.05,20.1,172.0,4.2,329.9,237.7,204.9,202.7,1.9180232558139534,1.6385445821671332,True,50.0,50.0,-27.14999999999995
DEV_58,DEVELOPMENT,2023-03-16,2023-03-23,2023-04-13,2,D+2,2023-03-20,EXECUTABLE,GATE_PASS,17066.599609375,17100.0,0.8239178815707671,33.400390625,0.19570618277499488,3614.999999999999,99.0,20.1,119.95,4.2,260.0,237.7,260.45,202.7,2.1675698207586493,2.6308080808080807,True,50.0,50.0,72.29999999999998
DEV_58,DEVELOPMENT,2023-03-16,2023-03-23,2023-04-13,3,D+3,2023-03-21,EXECUTABLE,GATE_FAIL,17060.400390625,17100.0,1.4943227679266249,39.599609375,0.23211418529638203,-679.9999999999991,115.0,20.1,88.8,4.2,287.2,237.7,248.9,202.7,3.234234234234234,2.1643478260869564,False,50.0,50.0,-13.599999999999994
DEV_58,DEVELOPMENT,2023-03-16,2023-03-23,2023-04-13,4,D+4,2023-03-22,EXECUTABLE,GATE_FAIL,17177.44921875,17200.0,1.5003529411764702,22.55078125,0.13128131518726746,-839.9999999999991,98.1,117.3,85.0,0.2,260.0,188.8,200.0,249.6,3.0588235294117645,2.0387359836901124,False,50.0,50.0,-16.799999999999983
DEV_58,DEVELOPMENT,2023-03-16,2023-03-23,2023-04-13,5,D+5,2023-03-23,EXECUTABLE,GATE_FAIL,17097.400390625,17100.0,1.2007476857346309,2.599609375,0.015204705485083226,-772.4999999999995,57.0,20.1,64.0,4.2,284.0,237.7,210.65,202.7,4.4375,3.6956140350877194,False,50.0,50.0,-15.449999999999996
DEV_59,DEVELOPMENT,2023-03-23,2023-03-29,2023-04-20,-1,D-1,2023-03-22,EXECUTABLE,GATE_PASS,17177.44921875,17200.0,1.1554761707875079,22.55078125,0.13128131518726746,3757.500000000001,135.05,132.3,139.0,0.15,310.4,189.95,261.0,201.5,2.233093525179856,1.932617549055905,True,50.0,50.0,75.15
DEV_59,DEVELOPMENT,2023-03-23,2023-03-29,2023-04-20,0,D0,2023-03-23,EXECUTABLE,GATE_FAIL,17097.400390625,17100.0,1.218098575330653,2.599609375,0.015204705485083226,922.5000000000005,125.5,24.65,160.05,0.95,326.3,247.7,210.05,171.25,2.0387378944079972,1.6737051792828685,False,50.0,50.0,18.450000000000017
DEV_59,DEVELOPMENT,2023-03-23,2023-03-29,2023-04-20,1,D+1,2023-03-24,EXECUTABLE,GATE_FAIL,17076.19921875,17100.0,1.4778511631820286,23.80078125,0.13937985230264985,772.4999999999995,120.0,24.65,108.05,0.95,292.75,247.7,220.0,171.25,2.7093937991670525,1.8333333333333333,False,50.0,50.0,15.449999999999989
DEV_59,DEVELOPMENT,2023-03-23,2023-03-29,2023-04-20,2,D+2,2023-03-27,EXECUTABLE,GATE_FAIL,16984.30078125,17000.0,1.2490629614123592,15.69921875,0.0924337065870343,3754.999999999999,109.7,1.45,99.6,59.15,264.35,311.5,233.1,137.35,2.654116465863454,2.1248860528714677,False,50.0,50.0,75.09999999999997
DEV_59,DEVELOPMENT,2023-03-23,2023-03-29,2023-04-20,3,D+3,2023-03-28,EXECUTABLE,GATE_PASS,17031.75,17000.0,0.9672075000000001,31.75,0.1864165455693044,2320.0,63.0,1.45,100.0,59.15,307.05,311.5,200.0,137.35,3.0705,3.1746031746031744,True,50.0,50.0,46.4
DEV_59,DEVELOPMENT,2023-03-23,2023-03-29,2023-04-20,4,D+4,2023-03-29,EXECUTABLE,GATE_FAIL,16977.30078125,17000.0,2.112234695129432,22.69921875,0.13370334331986022,645.0000000000005,62.95,1.45,42.9,59.15,273.5,311.5,190.0,137.35,6.375291375291376,3.018268467037331,False,50.0,50.0,12.900000000000006
DEV_59,DEVELOPMENT,2023-03-23,2023-03-29,2023-04-20,5,D+5,2023-03-31,AFTER_NEAR_EXPIRY,,,,,,,,,,,,,,,,,,,,,
DEV_60,DEVELOPMENT,2023-03-29,2023-04-06,2023-04-27,-1,D-1,2023-03-28,EXECUTABLE,GATE_PASS,17031.75,17050.0,0.9963277651487141,18.25,0.10715281753196236,-50.0,125.0,0.1,165.05,549.9,334.15,625.4,254.0,36.5,2.024538018782187,2.032,True,50.0,50.0,-1.0
DEV_60,DEVELOPMENT,2023-03-29,2023-04-06,2023-04-27,0,D0,2023-03-29,EXECUTABLE,GATE_FAIL,16977.30078125,17000.0,1.25364739965668,22.69921875,0.13370334331986022,-1804.9999999999964,141.8,0.1,154.95,597.55,327.75,669.45,239.25,32.75,2.1151984511132627,1.6872355430183354,False,50.0,50.0,-36.09999999999991
DEV_60,DEVELOPMENT,2023-03-29,2023-04-06,2023-04-27,1,D+1,2023-03-31,EXECUTABLE,GATE_FAIL,17210.349609375,17200.0,1.2508148543948703,10.349609375,0.060135962429038944,-990.0000000000018,90.0,0.1,95.0,399.45,260.1,489.65,197.0,52.0,2.7378947368421054,2.188888888888889,False,50.0,50.0,-19.800000000000068
DEV_60,DEVELOPMENT,2023-03-29,2023-04-06,2023-04-27,2,D+2,2023-04-03,EXECUTABLE,GATE_FAIL,17427.94921875,17450.0,2.3597200827874216,22.05078125,0.1265253930524223,-2702.5,118.95,0.2,58.95,149.1,235.0,293.95,200.95,105.05,3.986429177268872,1.6893652795292138,False,50.0,50.0,-54.05
