entry_date,near_expiry,far_expiry,secondary_spot_open,primary_spot_open,spot_abs_diff,primary_reason,primary_strike,secondary_strike,secondary_status,comparison_status,strike_mode,secondary_missing_entry,secondary_missing_exit,secondary_max_abs_price_diff,secondary_pnl_inr
2022-07-15,2022-07-21,2022-08-11,16010.7998046875,15994.5,16.2998046875,MISSING_ENTRY_LEG+MISSING_EXIT_LEG,15800.0,16000.0,SECONDARY_COMPLETE,RECOVERED_BY_SECONDARY_RESELECTED,SECONDARY_RESELECTED_STRIKE,,,224.55000000000007,-2887.499999999998
2022-07-22,2022-07-28,2022-08-18,16661.25,16666.8,5.549999999999272,MISSING_ENTRY_LEG,16600.0,16650.0,SECONDARY_COMPLETE,RECOVERED_BY_SECONDARY_RESELECTED,SECONDARY_RESELECTED_STRIKE,,,60.60000000000002,-15557.500000000004
2022-07-29,2022-08-04,2022-08-25,17079.5,17064.8,14.700000000000728,MISSING_ENTRY_LEG,17050.0,17100.0,SECONDARY_COMPLETE,RECOVERED_BY_SECONDARY_RESELECTED,SECONDARY_RESELECTED_STRIKE,,,46.0,-1069.9999999999973
2022-08-05,2022-08-11,2022-09-01,17423.650390625,17416.9,6.750390624998545,MISSING_ENTRY_LEG,17400.0,17400.0,SECONDARY_COMPLETE,RECOVERED_BY_SECONDARY_EXACT,SAME_AS_PRIMARY_STRIKE,,,6.949999999999989,-1714.999999999999
2022-08-12,2022-08-18,2022-09-08,17659.650390625,17649.1,10.550390625001455,MISSING_ENTRY_LEG,18000.0,17650.0,SECONDARY_COMPLETE,RECOVERED_BY_SECONDARY_RESELECTED,SECONDARY_RESELECTED_STRIKE,,,305.15,-87.49999999999818
2022-08-19,2022-08-25,2022-09-15,17966.55078125,17975.3,8.749218749999272,MISSING_ENTRY_LEG+MISSING_EXIT_LEG,18500.0,17950.0,SECONDARY_COMPLETE,RECOVERED_BY_SECONDARY_RESELECTED,SECONDARY_RESELECTED_STRIKE,,,560.65,-5809.999999999996
2022-08-26,2022-09-01,2022-09-22,17619.30078125,17628.1,8.799218749998545,MISSING_ENTRY_LEG,17000.0,17600.0,SECONDARY_COMPLETE,RECOVERED_BY_SECONDARY_RESELECTED,SECONDARY_RESELECTED_STRIKE,,,542.8000000000001,-1527.500000000001
2022-09-02,2022-09-08,2022-09-29,17598.400390625,17605.1,6.699609374998545,VALID,17600.0,17600.0,SECONDARY_COMPLETE,PRIMARY_VALID_SECONDARY_COMPLETE,SAME_AS_PRIMARY_STRIKE,,,4.400000000000006,1105.0000000000018
2022-09-09,2022-09-15,2022-10-06,17923.349609375,17902.3,21.049609375000728,MISSING_ENTRY_LEG+MISSING_EXIT_LEG,18500.0,17900.0,SECONDARY_COMPLETE,RECOVERED_BY_SECONDARY_RESELECTED,SECONDARY_RESELECTED_STRIKE,,,609.65,1.4779288903810084e-12
2022-09-16,2022-09-22,2022-10-13,17796.80078125,17818.6,21.799218749998545,NO_COMMON_STRIKE,,17800.0,SECONDARY_COMPLETE,RECOVERED_BY_SECONDARY_RESELECTED,SECONDARY_RESELECTED_STRIKE,,,,2265.0000000000023
