entry_date,near_expiry,far_expiry,strike,lot_near,lot_far,entry_near_pe,exit_near_pe,entry_near_ce,exit_near_ce,entry_far_ce,exit_far_ce,entry_far_pe,exit_far_pe,pnl_inr,comparison_status_x,near_pe_pnl,near_ce_pnl,far_ce_pnl,far_pe_pnl,entry_net_inr,entry_gross_inr,entry_debit_ratio,call_ratio,put_ratio,calendar_balance_ratio,call_calendar_points,put_calendar_points,calendar_asymmetry,loss_reason,far_legs_direction,primary_spot_open,primary_strike,secondary_strike,comparison_status_y,entry_abs_moneyness,year,candidate_gate,conservative_net20_2pt
2022-08-05,2022-08-11,2022-09-01,17400.0,50,50,170.0,0.15,180.0,265.9,352.7,458.5,277.0,161.35,-1714.999999999999,RECOVERED_BY_SECONDARY_EXACT,-8492.5,-4294.999999999999,5290.000000000001,5782.5,3285.0,48985.0,0.06706134530978872,1.9594444444444443,1.6294117647058823,1.2025471319695147,172.7,107.0,0.23489452985257453,BOTH_NEAR_ADVERSE,FAR_NET_FAVORABLE,17416.9,17400.0,17400.0,RECOVERED_BY_SECONDARY_EXACT,0.0009703219287015172,2022,False,-2788.984257899999
2022-09-02,2022-09-08,2022-09-29,17600.0,50,50,165.95,0.25,176.1,198.1,342.15,413.0,330.85,191.9,1105.0000000000018,PRIMARY_VALID_SECONDARY_COMPLETE,-8285.0,-1100.0,3542.500000000001,6947.500000000001,57.5,50752.5,0.0011329491158071031,1.942930153321976,1.993672793009943,0.9745481606280245,166.04999999999998,164.90000000000003,0.003474845142760157,NON_LOSS,FAR_NET_FAVORABLE,17605.1,17600.0,17600.0,PRIMARY_VALID_SECONDARY_COMPLETE,0.00028968878336382896,2022,True,32.34947030000194
2022-09-30,2022-10-06,2022-10-27,16800.0,50,50,193.0,0.1,185.75,538.45,360.05,647.5,376.05,126.7,-440.0000000000018,PRIMARY_VALID_SECONDARY_COMPLETE,-9645.0,-17635.000000000004,14372.5,12467.500000000002,-437.5,55742.5,-0.0078485894963448,1.9383580080753702,1.9484455958549223,0.9948227511196555,174.3,183.05,0.024485798236954005,BOTH_NEAR_ADVERSE,FAR_NET_FAVORABLE,16808.7,16800.0,16800.0,PRIMARY_VALID_SECONDARY_COMPLETE,0.0005175891056417645,2022,True,-1540.1784784000017
2022-10-21,2022-10-27,2022-11-17,17600.0,50,50,138.45,0.25,120.0,114.95,328.3,367.8,332.0,199.15,1960.000000000001,RECOVERED_BY_SECONDARY_EXACT,-6909.999999999999,252.49999999999986,1975.0,6642.5,737.5,45937.5,0.016054421768707482,2.7358333333333333,2.397977609245215,1.1408919427710842,208.3,193.55,0.03670523827289609,NON_LOSS,FAR_NET_FAVORABLE,17624.8,17600.0,17600.0,RECOVERED_BY_SECONDARY_EXACT,0.0014071081657663787,2022,True,897.0811594000008
2022-10-28,2022-11-03,2022-11-24,17750.0,50,50,138.05,0.1,142.0,308.95,315.0,494.9,288.8,127.35,1822.499999999999,PRIMARY_VALID_SECONDARY_COMPLETE,-6897.500000000001,-8347.5,8994.999999999998,8072.500000000001,1112.5,44192.5,0.025173954856593312,2.2183098591549295,2.0919956537486417,1.0603797647380127,173.0,150.75,0.06872586872565645,NON_LOSS,FAR_NET_FAVORABLE,17760.4,17750.0,17750.0,PRIMARY_VALID_SECONDARY_COMPLETE,0.0005855723970181671,2022,True,749.7807061499991
2023-01-02,2023-01-05,2023-01-25,18150.0,50,50,104.05,160.75,103.0,0.25,298.65,181.5,244.3,267.0,980.0000000000014,PRIMARY_VALID_SECONDARY_COMPLETE,2835.0,5137.5,-5857.499999999999,-1134.9999999999995,2770.0,37500.0,0.07386666666666666,2.899514563106796,2.3479096588178763,1.2349344670129434,195.64999999999998,140.25,0.16493003870150358,NON_LOSS,FAR_NET_ADVERSE,18133.65,18150.0,18150.0,PRIMARY_VALID_SECONDARY_COMPLETE,0.0009016386662364468,2023,False,-71.5388229999985
2023-01-06,2023-01-12,2023-02-02,18000.0,50,50,110.05,143.1,140.0,0.2,340.1,239.5,245.05,288.45,1442.5,RECOVERED_BY_SECONDARY_EXACT,1652.4999999999998,6990.000000000001,-5030.000000000001,-2169.999999999999,3255.0,41760.0,0.07794540229885058,2.4292857142857143,2.226715129486597,1.0909728335325153,200.10000000000002,135.0,0.1942703670540309,NON_LOSS,FAR_NET_ADVERSE,18013.4,18000.0,18000.0,RECOVERED_BY_SECONDARY_EXACT,0.0007438906591760275,2023,True,384.07358195000006
2023-01-20,2023-01-25,2023-02-16,18100.0,50,50,102.0,211.1,113.0,0.2,333.8,193.95,233.0,316.45,-70.0,PRIMARY_VALID_SECONDARY_COMPLETE,5455.0,5640.0,-6992.500000000001,-4172.499999999999,4490.0,39090.0,0.11486313635200819,2.953982300884956,2.284313725490196,1.2931596338638005,220.8,131.0,0.2552586696979669,BOTH_NEAR_FAVORABLE_BUT_FAR_OFFSETTING,FAR_NET_ADVERSE,18116.2,18100.0,18100.0,PRIMARY_VALID_SECONDARY_COMPLETE,0.0008942272662037694,2023,False,-1127.840944
2023-01-27,2023-02-02,2023-02-23,17900.0,50,50,148.0,292.15,164.5,0.15,335.0,150.45,250.55,368.55,297.5,PRIMARY_VALID_SECONDARY_COMPLETE,7207.499999999999,8217.5,-9227.5,-5900.0,3397.5,44902.5,0.07566393853348923,2.0364741641337387,1.6929054054054056,1.202946223475527,170.5,102.55000000000001,0.24885552096594446,NON_LOSS,FAR_NET_ADVERSE,17884.75,17900.0,17900.0,PRIMARY_VALID_SECONDARY_COMPLETE,0.0008526817540083032,2023,False,-769.9057891499999
2023-03-03,2023-03-09,2023-03-29,17450.0,50,50,89.05,0.15,84.9,148.55,218.95,309.5,193.35,117.45,695.0000000000005,PRIMARY_VALID_SECONDARY_COMPLETE,-4445.0,-3182.5000000000005,4527.500000000001,3794.9999999999995,1487.5,29312.5,0.050746268656716415,2.578916372202591,2.171252105558675,1.1877553811463186,134.04999999999998,104.3,0.12481644640182578,NON_LOSS,FAR_NET_FAVORABLE,17434.3,17450.0,17450.0,PRIMARY_VALID_SECONDARY_COMPLETE,0.0009005236803313427,2023,True,-347.3774770999994
2023-03-10,2023-03-16,2023-04-06,17450.0,50,50,85.0,470.95,105.0,0.1,222.0,97.3,245.0,382.8,11417.5,PRIMARY_VALID_SECONDARY_COMPLETE,19297.5,5245.0,-6235.0,-6890.000000000001,-2150.0,32850.0,-0.0654490106544901,2.1142857142857143,2.8823529411764706,0.7335276967930029,117.0,160.0,0.1552346570391508,NON_LOSS,FAR_NET_ADVERSE,17451.5,17500.0,17450.0,PRIMARY_VALID_SECONDARY_COMPLETE,0.0027791307337478154,2023,True,10351.43453165
2023-03-17,2023-03-23,2023-04-13,17100.0,50,50,125.05,20.1,172.0,4.2,329.9,237.7,204.9,202.7,-1357.4999999999973,PRIMARY_VALID_SECONDARY_COMPLETE,-5247.499999999999,8390.0,-4609.999999999999,110.00000000000085,3902.5,41592.5,0.09382701208150508,1.9180232558139534,1.6385445821671332,1.1705651934579544,157.89999999999998,79.85000000000001,0.32828601471996505,NEAR_PUT_ADVERSE,FAR_NET_ADVERSE,17119.5,17000.0,17100.0,PRIMARY_VALID_SECONDARY_COMPLETE,0.0069803440521043255,2023,True,-2405.4518714499973
2023-03-31,2023-04-06,2023-04-27,17200.0,50,50,90.0,0.1,95.0,399.45,260.1,489.65,197.0,52.0,-990.0000000000018,PRIMARY_VALID_SECONDARY_COMPLETE,-4495.0,-15222.5,11477.499999999998,7250.0,2905.0,32105.0,0.09048434823236257,2.7378947368421054,2.188888888888889,1.2508148543948703,165.10000000000002,107.0,0.21352443954350053,BOTH_NEAR_ADVERSE,FAR_NET_FAVORABLE,17214.9,17200.0,17200.0,PRIMARY_VALID_SECONDARY_COMPLETE,0.0008655292798681058,2023,False,-2051.2327772000017
2023-04-28,2023-05-04,2023-05-25,17950.0,50,50,93.0,0.1,99.0,303.65,246.0,410.2,165.0,63.3,-1582.4999999999982,PRIMARY_VALID_SECONDARY_COMPLETE,-4645.0,-10232.499999999998,8210.0,5085.0,3750.0,30150.0,0.12437810945273632,2.484848484848485,1.7741935483870968,1.400550964187328,147.0,72.0,0.34246575342309377,BOTH_NEAR_ADVERSE,FAR_NET_FAVORABLE,17955.75,17950.0,17950.0,PRIMARY_VALID_SECONDARY_COMPLETE,0.0003202316806593988,2023,False,-2634.2296097499984
2023-05-05,2023-05-11,2023-06-01,18100.0,50,50,48.0,0.15,135.0,193.95,310.95,356.3,170.65,97.5,585.0000000000014,PRIMARY_VALID_SECONDARY_COMPLETE,-2392.5,-2947.4999999999995,2267.500000000001,3657.5000000000005,2665.0,33230.0,0.08019861570869696,2.3033333333333332,3.5552083333333333,0.6478757691180779,175.95,122.65,0.17849966510321996,NON_LOSS,FAR_NET_FAVORABLE,18117.3,18100.0,18100.0,PRIMARY_VALID_SECONDARY_COMPLETE,0.0009548884215638795,2023,True,-464.2624124999986
