entry_date,near_expiry,far_expiry,spot_open,strike,entry_near_pe,entry_near_ce,entry_far_ce,entry_far_pe,exit_near_pe,exit_near_ce,exit_far_ce,exit_far_pe,lot_near_pe,lot_near_ce,lot_far_ce,lot_far_pe,pnl_points,pnl_inr,cum_pnl_inr,year
2023-03-10,2023-03-16,2023-04-06,17451.5,17500,110.0,120.0,248.95,236.8,515.45,0.1,82.5,476.3,50,50,50,50,119.40000000000003,5970.000000000004,12557.500000000002,2023
2023-03-17,2023-03-23,2023-04-13,17119.5,17000,89.95,233.0,399.0,182.25,0.05,76.7,298.0,170.95,50,50,50,50,-23.299999999999983,-1164.9999999999986,11392.500000000004,2023
2023-03-31,2023-04-06,2023-04-27,17214.9,17200,90.0,95.0,260.1,197.0,0.05,399.9,495.05,48.0,50,50,50,50,-10.899999999999975,-545.0,10847.500000000004,2023
2023-04-28,2023-05-04,2023-05-25,17955.75,17950,93.0,99.0,246.0,165.0,0.05,305.6,402.75,70.0,50,50,50,50,-47.80000000000001,-2390.000000000002,8457.500000000002,2023
2023-05-05,2023-05-11,2023-06-01,18117.3,18100,48.0,135.0,310.95,170.65,0.05,197.0,359.05,97.0,50,50,50,50,11.800000000000026,590.0000000000014,9047.500000000004,2023
2023-05-26,2023-06-01,2023-06-22,18368.3,18400,123.55,84.0,211.05,190.3,0.05,87.3,274.05,117.85,50,50,50,50,8.65000000000002,432.5000000000009,9480.000000000004,2023
2023-06-02,2023-06-08,2023-06-28,18550.8,18550,85.4,100.0,234.0,166.0,0.05,84.5,275.6,104.25,50,50,50,50,33.500000000000014,1675.000000000001,11155.000000000004,2023
2023-06-23,2023-06-28,2023-07-20,18741.8,18750,65.0,143.9,310.0,193.8,0.05,222.0,366.6,83.1,50,50,50,50,24.25000000000003,1212.5000000000018,12367.500000000005,2023
2023-06-30,2023-07-06,2023-07-27,19076.8,19100,111.1,61.6,220.0,190.0,0.05,398.45,499.8,70.0,50,50,50,50,-48.099999999999966,-2405.0,9962.500000000005,2023
2023-07-07,2023-07-13,2023-08-03,19422.8,19400,81.0,111.4,312.45,180.05,0.05,13.85,248.15,127.15,50,50,50,50,5.200000000000031,260.0000000000023,10222.500000000007,2023
2023-07-14,2023-07-20,2023-08-10,19493.45,19500,90.15,84.25,258.25,174.7,0.05,480.0,574.0,59.25,50,50,50,50,-54.650000000000034,-2732.500000000001,7490.000000000006,2023
2023-07-21,2023-07-27,2023-08-17,19800.45,19800,70.0,130.05,326.05,174.3,140.6,0.1,195.65,193.6,50,50,50,50,50.85000000000002,2542.500000000001,10032.500000000007,2023
2023-07-28,2023-08-03,2023-08-24,19659.75,19650,88.0,170.05,299.0,190.95,268.9,0.05,97.3,320.0,50,50,50,50,20.149999999999977,1007.4999999999992,11040.000000000007,2023
2023-08-04,2023-08-10,2023-08-31,19462.8,19450,80.0,101.2,219.75,182.7,0.05,92.85,263.35,117.0,50,50,50,50,37.70000000000002,1885.000000000001,12925.000000000007,2023
2023-08-18,2023-08-24,2023-09-14,19301.75,19300,95.0,140.0,276.1,186.25,0.05,86.6,284.6,116.25,50,50,50,50,36.95,1847.5000000000005,14772.500000000007,2023
2023-09-01,2023-09-07,2023-09-28,19258.15,19250,70.0,174.9,320.0,157.95,0.05,476.75,555.75,41.0,50,50,50,50,-19.100000000000023,-955.0000000000008,13817.500000000007,2023
2023-09-29,2023-10-05,2023-10-26,19581.2,19600,130.0,119.0,282.6,224.55,53.95,0.05,171.75,205.0,50,50,50,50,-48.400000000000006,-2420.0000000000005,11397.500000000007,2023
2023-11-03,2023-11-09,2023-11-30,19241.0,19250,77.8,110.1,261.4,163.0,0.05,145.05,315.75,85.2,50,50,50,50,19.450000000000003,972.5,12370.000000000007,2023
2023-11-10,2023-11-16,2023-12-07,19351.85,19350,75.95,139.0,244.8,170.2,0.05,415.0,503.5,41.4,50,50,50,50,35.599999999999994,1779.999999999999,14150.000000000007,2023
2023-11-17,2023-11-23,2023-12-14,19674.75,19650,49.9,181.0,330.0,138.4,0.05,151.4,373.1,77.75,50,50,50,50,83.50000000000003,4175.000000000001,18325.000000000007,2023
2023-11-24,2023-11-30,2023-12-21,19809.6,19800,57.8,138.0,303.0,154.75,0.05,334.0,525.4,81.9,50,50,50,50,41.49999999999997,2074.9999999999977,20400.000000000004,2023
2023-12-01,2023-12-07,2023-12-28,20194.1,20200,99.2,154.25,325.0,203.65,0.05,702.5,866.35,25.05,50,50,50,50,72.55000000000004,3627.5,24027.500000000004,2023
2023-12-15,2023-12-21,2024-01-11,21287.45,21300,90.05,135.6,344.95,194.9,45.2,0.05,351.25,193.4,50,50,50,50,98.5,4925.000000000001,28952.500000000004,2023
2023-12-22,2023-12-28,2024-01-18,21295.85,21300,115.0,185.0,394.2,226.15,0.2,480.4,675.5,111.6,50,50,50,50,-14.349999999999966,-717.4999999999991,28235.000000000004,2023
2023-12-29,2024-01-04,2024-01-25,21737.65,21750,135.0,249.75,496.0,274.95,91.25,0.05,289.9,225.05,50,50,50,50,49.74999999999994,2487.4999999999973,30722.5,2023
2024-01-05,2024-01-11,2024-02-01,21705.75,21700,111.05,148.95,401.95,237.9,53.3,0.05,290.0,256.2,50,50,50,50,-39.1,-1954.999999999999,28767.5,2024
2024-01-12,2024-01-18,2024-02-08,21773.55,21750,165.0,115.0,348.85,282.55,287.7,0.05,245.9,388.1,50,50,50,50,29.14999999999995,1457.4999999999982,30225.0,2024
2024-01-19,2024-01-25,2024-02-15,21615.2,21650,180.6,140.0,385.35,280.4,297.5,0.3,210.0,448.5,50,50,50,50,-86.85000000000002,-4342.500000000004,25882.499999999996,2024
2024-02-02,2024-02-08,2024-02-29,21812.75,21800,151.15,165.6,360.0,275.0,81.9,0.05,320.0,293.0,50,50,50,50,38.29999999999998,1915.0,27797.499999999996,2024
2024-03-01,2024-03-07,2024-03-28,22048.3,22050,132.0,197.65,405.0,296.45,0.05,443.75,589.1,97.7,50,50,50,50,4.800000000000068,240.00000000000185,28037.5,2024
2024-03-11,2024-03-14,2024-04-04,22517.5,22500,125.0,125.75,380.0,259.4,353.3,0.05,193.8,367.6,50,50,50,50,59.599999999999966,2979.999999999998,31017.5,2024
2024-04-01,2024-04-04,2024-04-25,22455.0,22450,123.9,102.0,360.0,260.05,0.05,64.6,344.0,155.8,50,50,50,50,1.7999999999999972,90.0,31107.5,2024
2024-04-05,2024-04-10,2024-05-02,22486.4,22500,116.4,140.0,325.25,207.85,0.05,253.6,464.0,112.7,50,50,25,25,3.950000000000003,-5650.0,25457.5,2024
2024-04-12,2024-04-18,2024-05-09,22677.4,22700,147.65,145.0,345.75,224.0,706.6,0.05,80.2,563.0,50,50,25,25,99.35000000000008,20081.25,45538.75,2024
2024-04-26,2024-05-02,2024-05-23,22620.4,22600,131.05,150.0,331.65,269.75,0.05,48.35,349.0,190.85,25,25,25,25,66.90000000000003,1672.500000000001,47211.25,2024
2024-05-03,2024-05-09,2024-05-30,22766.35,22750,105.15,151.05,334.0,250.0,793.5,0.05,65.4,731.5,25,25,25,25,89.25,2231.25,49442.5,2024
2024-05-10,2024-05-16,2024-06-06,21990.95,22000,159.9,182.0,567.15,435.0,0.05,403.95,801.05,277.0,25,25,25,25,10.100000000000025,252.4999999999991,49695.0,2024
2024-05-31,2024-06-06,2024-06-27,22568.1,22550,500.0,557.0,629.15,482.45,0.05,271.0,578.9,187.15,25,25,25,25,31.09999999999997,777.4999999999991,50472.5,2024
2024-06-07,2024-06-13,2024-07-04,22821.85,22800,216.5,294.35,479.85,347.25,0.05,599.85,720.0,84.2,25,25,25,25,-18.750000000000057,-468.7500000000009,50003.75,2024
2024-06-28,2024-07-04,2024-07-25,24085.9,24100,192.7,145.6,387.75,347.65,0.05,201.75,443.0,165.05,25,25,25,25,-10.950000000000015,-273.75,49730.0,2024
2024-07-05,2024-07-11,2024-08-01,24213.35,24200,93.25,200.5,390.65,287.15,0.05,115.9,444.85,224.1,25,25,25,25,108.65000000000002,2716.250000000001,52446.25,2024
2024-07-26,2024-08-01,2024-08-22,24423.35,24400,155.0,165.0,375.0,279.0,0.05,611.5,699.35,86.85,25,25,25,25,-84.95000000000002,-2123.749999999999,50322.5,2024
2024-08-02,2024-08-08,2024-08-29,24789.0,24800,125.15,172.0,400.0,345.0,684.0,0.05,83.05,762.95,25,25,25,25,-4.10000000000008,-102.50000000000182,50220.0,2024
2024-08-09,2024-08-14,2024-09-05,24386.85,24400,186.15,130.1,365.45,368.85,256.05,0.05,231.5,405.0,25,25,25,25,29.850000000000023,746.250000000001,50966.25,2024
2024-08-23,2024-08-29,2024-09-19,24845.4,24850,137.45,146.3,331.25,276.0,0.1,302.0,518.3,130.2,25,25,25,25,39.80000000000001,994.9999999999995,51961.25,2024
2024-08-30,2024-09-05,2024-09-26,25249.7,25250,155.45,130.0,360.0,329.95,104.9,0.05,292.4,307.1,25,25,25,25,34.64999999999995,866.2499999999986,52827.5,2024
