entry_date,near_expiry,far_expiry,expiry_regime,spot_open,status,status_detail,gate_pass,strike,entry_near_pe,entry_near_ce,entry_far_ce,entry_far_pe,exit_near_pe,exit_near_ce,exit_far_ce,exit_far_pe,lot_near,lot_far,call_ratio,put_ratio,calendar_balance_ratio,pnl_points,pnl_inr,reason,fixed_status,event_status
2025-10-01,2025-10-07,2025-10-28,TUESDAY,24620.55078125,ERROR,GATE_PASS,True,24600.0,87.2,178.65,396.0,229.5,0.1,511.45,683.5,49.55,75.0,75.0,2.216624685138539,2.631880733944954,0.8422207953990442,47.550000000000026,3566.250000000004,KeyError:'timestamp',,
2025-10-08,2025-10-14,2025-11-04,TUESDAY,25079.75,ERROR,GATE_PASS,True,25100.0,90.0,140.0,343.2,200.1,0.25,52.45,337.95,188.75,75.0,75.0,2.4514285714285715,2.223333333333333,1.1025915613621762,3.9000000000000057,292.49999999999955,KeyError:'timestamp',,
2025-10-23,2025-10-28,2025-11-18,TUESDAY,26057.19921875,ERROR,GATE_PASS,True,26050.0,86.0,140.0,394.05,233.65,123.2,0.55,290.95,269.65,75.0,75.0,2.814642857142857,2.7168604651162798,1.0359909510562195,37.54999999999996,2816.2500000000005,KeyError:'timestamp',,
2025-10-29,2025-11-04,2025-11-25,TUESDAY,25982.0,ERROR,GATE_FAIL,False,26000.0,150.0,188.0,400.0,265.0,399.05,0.2,155.55,438.7,75.0,75.0,2.127659574468085,1.7666666666666666,1.2043356081894825,18.700000000000102,1402.5,KeyError:'timestamp',,
2025-11-06,2025-11-11,2025-12-02,TUESDAY,25593.349609375,ERROR,GATE_FAIL,False,25600.0,123.05,111.3,436.4,284.15,0.2,91.25,424.9,163.1,75.0,75.0,3.920934411500449,2.309223892726534,1.697944674767307,6.749999999999972,506.2499999999982,KeyError:'timestamp',,
2025-11-12,2025-11-18,2025-12-09,TUESDAY,25834.30078125,ERROR,GATE_FAIL,False,25800.0,120.05,173.5,423.55,236.95,0.2,118.2,419.55,174.9,75.0,75.0,2.4412103746397693,1.9737609329446064,1.236831844167564,-6.500000000000028,-487.5000000000009,KeyError:'timestamp',,
2025-11-19,2025-11-25,2025-12-16,TUESDAY,25918.099609375,ERROR,GATE_PASS,True,25900.0,131.0,181.0,400.0,247.3,17.95,2.35,319.2,213.55,75.0,75.0,2.209944751381216,1.8877862595419848,1.1706541141566489,18.55000000000001,1391.249999999999,KeyError:'timestamp',,
2025-11-26,2025-12-02,2025-12-23,TUESDAY,25842.94921875,ERROR,GATE_FAIL,False,25850.0,98.0,213.0,515.0,175.0,0.15,174.1,466.45,124.7,75.0,75.0,2.4178403755868545,1.7857142857142858,1.3539906103286383,-57.2,-4290.000000000001,KeyError:'timestamp',,
2025-12-03,2025-12-09,2025-12-30,TUESDAY,26004.900390625,ANALYZED,GATE_PASS,True,26000.0,93.1,195.0,411.0,209.3,159.6,0.2,222.9,256.25,75.0,75.0,2.107692307692308,2.24812030075188,0.937535374324672,26.250000000000057,1968.750000000001,,NO_TRIGGER,NO_TRIGGER
2025-12-10,2025-12-16,2026-01-06,TUESDAY,25864.05078125,ANALYZED,GATE_FAIL,False,25900.0,142.7,134.05,338.45,223.85,27.95,1.05,278.8,184.3,75.0,65.0,2.5248041775456915,1.5686755430974073,1.6095133175598395,-1.8499999999999943,62.250000000002274,,NO_TRIGGER,NO_TRIGGER
2025-12-17,2025-12-23,2026-01-13,TUESDAY,25902.400390625,ERROR,GATE_FAIL,False,25900.0,121.0,133.0,327.6,223.9,0.15,279.9,482.15,80.75,75.0,65.0,2.463157894736842,1.850413223140496,1.331139371429915,29.94999999999996,-730.7500000000036,KeyError:'timestamp',,
2025-12-24,2025-12-30,2026-01-20,TUESDAY,26170.650390625,ERROR,GATE_FAIL,False,26150.0,85.45,140.45,358.2,168.0,213.1,0.15,182.0,246.3,75.0,65.0,2.5503737985048063,1.9660620245757752,1.2971990540609268,13.449999999999989,3553.749999999999,KeyError:'timestamp',,
