entry_date,near_expiry,far_expiry,expiry_regime,spot_open,primary_reason,primary_strike,primary_spot_open,primary_near_pe_open,primary_near_ce_open,primary_far_ce_open,primary_far_pe_open,primary_near_pe_close,primary_near_ce_close,primary_far_ce_close,primary_far_pe_close
2025-05-16,2025-05-22,2025-06-12,THURSDAY,25064.650390625,VALID,,25064.650390625,,,,,,,,
2025-05-23,2025-05-29,2025-06-19,THURSDAY,24639.5,VALID,,24639.5,,,,,,,,
2025-05-30,2025-06-05,2025-06-26,THURSDAY,24812.599609375,VALID,,24812.599609375,,,,,,,,
2025-06-06,2025-06-12,2025-07-03,THURSDAY,24748.69921875,VALID,,24748.69921875,,,,,,,,
2025-06-13,2025-06-19,2025-07-10,THURSDAY,24473.0,VALID,,24473.0,,,,,,,,
2025-06-20,2025-06-26,2025-07-17,THURSDAY,24787.650390625,VALID,,24787.650390625,,,,,,,,
2025-06-27,2025-07-03,2025-07-24,THURSDAY,25576.650390625,VALID,,25576.650390625,,,,,,,,
2025-07-04,2025-07-10,2025-07-31,THURSDAY,25428.849609375,VALID,,25428.849609375,,,,,,,,
2025-07-11,2025-07-17,2025-08-07,THURSDAY,25255.5,VALID,,25255.5,,,,,,,,
2025-07-18,2025-07-24,2025-08-14,THURSDAY,25108.55078125,VALID,,25108.55078125,,,,,,,,
2025-07-25,2025-07-31,2025-08-21,THURSDAY,25010.349609375,VALID,,25010.349609375,,,,,,,,
2025-08-01,2025-08-07,2025-08-28,THURSDAY,24734.900390625,VALID,,24734.900390625,,,,,,,,
2025-08-08,2025-08-14,2025-09-02,THURSDAY,24544.25,VALID,,24544.25,,,,,,,,
2025-08-18,2025-08-21,2025-09-09,THURSDAY,24938.19921875,VALID,,24938.19921875,,,,,,,,
2025-08-22,2025-08-28,2025-09-16,THURSDAY,25064.150390625,VALID,,25064.150390625,,,,,,,,
2025-08-29,2025-09-02,2025-09-23,TUESDAY,24466.69921875,VALID,,24466.69921875,,,,,,,,
2025-09-03,2025-09-09,2025-09-30,TUESDAY,24616.5,VALID,,24616.5,,,,,,,,
2025-09-10,2025-09-16,2025-10-07,TUESDAY,24991.0,VALID,,24991.0,,,,,,,,
2025-09-17,2025-09-23,2025-10-14,TUESDAY,25276.599609375,VALID,,25276.599609375,,,,,,,,
2025-09-24,2025-09-30,2025-10-21,TUESDAY,25108.75,VALID,,25108.75,,,,,,,,
2025-10-01,2025-10-07,2025-10-28,TUESDAY,24620.55078125,VALID,,24620.55078125,,,,,,,,
2025-10-08,2025-10-14,2025-11-04,TUESDAY,25079.75,VALID,,25079.75,,,,,,,,
2025-10-15,2025-10-21,2025-11-11,TUESDAY,25181.94921875,VALID,,25181.94921875,,,,,,,,
2025-10-23,2025-10-28,2025-11-18,TUESDAY,26057.19921875,VALID,,26057.19921875,,,,,,,,
2025-10-29,2025-11-04,2025-11-25,TUESDAY,25982.0,VALID,,25982.0,,,,,,,,
2025-11-06,2025-11-11,2025-12-02,TUESDAY,25593.349609375,VALID,,25593.349609375,,,,,,,,
2025-11-12,2025-11-18,2025-12-09,TUESDAY,25834.30078125,VALID,,25834.30078125,,,,,,,,
2025-11-19,2025-11-25,2025-12-16,TUESDAY,25918.099609375,VALID,,25918.099609375,,,,,,,,
2025-11-26,2025-12-02,2025-12-23,TUESDAY,25842.94921875,VALID,,25842.94921875,,,,,,,,
2025-12-03,2025-12-09,2025-12-30,TUESDAY,26004.900390625,VALID,,26004.900390625,,,,,,,,
2025-12-10,2025-12-16,2026-01-06,TUESDAY,25864.05078125,VALID,,25864.05078125,,,,,,,,
2025-12-17,2025-12-23,2026-01-13,TUESDAY,25902.400390625,VALID,,25902.400390625,,,,,,,,
2025-12-24,2025-12-30,2026-01-20,TUESDAY,26170.650390625,VALID,,26170.650390625,,,,,,,,
2025-12-31,2026-01-06,2026-01-27,TUESDAY,25971.05078125,VALID,,25971.05078125,,,,,,,,
2026-01-07,2026-01-13,2026-02-03,TUESDAY,26143.099609375,VALID,,26143.099609375,,,,,,,,
2026-01-14,2026-01-20,2026-02-10,TUESDAY,25648.55078125,VALID,,25648.55078125,,,,,,,,
2026-01-21,2026-01-27,2026-02-17,TUESDAY,25141.0,VALID,,25141.0,,,,,,,,
2026-01-28,2026-02-03,2026-02-24,TUESDAY,25258.849609375,VALID,,25258.849609375,,,,,,,,
2026-02-04,2026-02-10,2026-03-02,TUESDAY,25675.05078125,VALID,,25675.05078125,,,,,,,,
2026-02-11,2026-02-17,2026-03-10,TUESDAY,25997.44921875,VALID,,25997.44921875,,,,,,,,
2026-02-18,2026-02-24,2026-03-17,TUESDAY,25752.650390625,VALID,,25752.650390625,,,,,,,,
2026-02-25,2026-03-02,2026-03-24,TUESDAY,25512.599609375,VALID,,25512.599609375,,,,,,,,
2026-03-04,2026-03-10,2026-03-30,TUESDAY,24388.80078125,VALID,,24388.80078125,,,,,,,,
2026-03-11,2026-03-17,2026-04-07,TUESDAY,24231.849609375,VALID,,24231.849609375,,,,,,,,
2026-03-18,2026-03-24,2026-04-13,TUESDAY,23632.900390625,VALID,,23632.900390625,,,,,,,,
2026-03-25,2026-03-30,2026-04-21,TUESDAY,23064.400390625,VALID,,23064.400390625,,,,,,,,
2026-04-01,2026-04-07,2026-04-28,TUESDAY,22899.0,VALID,,22899.0,,,,,,,,
2026-04-08,2026-04-13,2026-05-05,TUESDAY,23855.150390625,VALID,,23855.150390625,,,,,,,,
2026-04-15,2026-04-21,2026-05-12,TUESDAY,24163.80078125,VALID,,24163.80078125,,,,,,,,
