entry_date,near_expiry,far_expiry,strike,lot_near,lot_far,entry_near_pe,exit_near_pe,entry_near_ce,exit_near_ce,entry_far_ce,exit_far_ce,entry_far_pe,exit_far_pe,pnl_inr,comparison_status
2022-08-05,2022-08-11,2022-09-01,17400.0,50,50,170.0,0.15,180.0,265.9,352.7,458.5,277.0,161.35,-1714.999999999999,RECOVERED_BY_SECONDARY_EXACT
2022-09-02,2022-09-08,2022-09-29,17600.0,50,50,165.95,0.25,176.1,198.1,342.15,413.0,330.85,191.9,1105.0000000000018,PRIMARY_VALID_SECONDARY_COMPLETE
2022-09-30,2022-10-06,2022-10-27,16800.0,50,50,193.0,0.1,185.75,538.45,360.05,647.5,376.05,126.7,-440.0000000000018,PRIMARY_VALID_SECONDARY_COMPLETE
2022-10-21,2022-10-27,2022-11-17,17600.0,50,50,138.45,0.25,120.0,114.95,328.3,367.8,332.0,199.15,1960.000000000001,RECOVERED_BY_SECONDARY_EXACT
2022-10-28,2022-11-03,2022-11-24,17750.0,50,50,138.05,0.1,142.0,308.95,315.0,494.9,288.8,127.35,1822.499999999999,PRIMARY_VALID_SECONDARY_COMPLETE
2023-01-02,2023-01-05,2023-01-25,18150.0,50,50,104.05,160.75,103.0,0.25,298.65,181.5,244.3,267.0,980.0000000000014,PRIMARY_VALID_SECONDARY_COMPLETE
2023-01-06,2023-01-12,2023-02-02,18000.0,50,50,110.05,143.1,140.0,0.2,340.1,239.5,245.05,288.45,1442.5,RECOVERED_BY_SECONDARY_EXACT
2023-01-20,2023-01-25,2023-02-16,18100.0,50,50,102.0,211.1,113.0,0.2,333.8,193.95,233.0,316.45,-70.0,PRIMARY_VALID_SECONDARY_COMPLETE
2023-01-27,2023-02-02,2023-02-23,17900.0,50,50,148.0,292.15,164.5,0.15,335.0,150.45,250.55,368.55,297.5,PRIMARY_VALID_SECONDARY_COMPLETE
2023-03-03,2023-03-09,2023-03-29,17450.0,50,50,89.05,0.15,84.9,148.55,218.95,309.5,193.35,117.45,695.0000000000005,PRIMARY_VALID_SECONDARY_COMPLETE
2023-03-10,2023-03-16,2023-04-06,17450.0,50,50,85.0,470.95,105.0,0.1,222.0,97.3,245.0,382.8,11417.5,PRIMARY_VALID_SECONDARY_COMPLETE
2023-03-17,2023-03-23,2023-04-13,17100.0,50,50,125.05,20.1,172.0,4.2,329.9,237.7,204.9,202.7,-1357.4999999999973,PRIMARY_VALID_SECONDARY_COMPLETE
2023-03-31,2023-04-06,2023-04-27,17200.0,50,50,90.0,0.1,95.0,399.45,260.1,489.65,197.0,52.0,-990.0000000000018,PRIMARY_VALID_SECONDARY_COMPLETE
2023-04-28,2023-05-04,2023-05-25,17950.0,50,50,93.0,0.1,99.0,303.65,246.0,410.2,165.0,63.3,-1582.4999999999982,PRIMARY_VALID_SECONDARY_COMPLETE
2023-05-05,2023-05-11,2023-06-01,18100.0,50,50,48.0,0.15,135.0,193.95,310.95,356.3,170.65,97.5,585.0000000000014,PRIMARY_VALID_SECONDARY_COMPLETE
2023-05-26,2023-06-01,2023-06-22,18350.0,50,50,80.0,0.15,115.0,146.55,280.95,306.45,184.6,100.65,-97.50000000000092,PRIMARY_VALID_SECONDARY_COMPLETE
2023-06-09,2023-06-15,2023-07-06,18650.0,50,50,71.6,0.95,111.0,37.3,256.7,242.35,155.9,125.0,980.0000000000008,RECOVERED_BY_SECONDARY_EXACT
2023-06-16,2023-06-22,2023-07-13,18700.0,50,50,70.0,0.3,110.0,74.4,282.0,293.8,142.95,116.65,199.99999999999957,RECOVERED_BY_SECONDARY_EXACT
2023-06-30,2023-07-06,2023-07-27,19100.0,50,50,111.1,0.15,61.6,398.2,220.0,501.7,190.0,70.45,-2315.0,PRIMARY_VALID_SECONDARY_COMPLETE
2023-07-07,2023-07-13,2023-08-03,19400.0,50,50,81.0,6.35,111.4,9.0,312.45,237.25,180.05,136.45,-192.4999999999991,PRIMARY_VALID_SECONDARY_COMPLETE
2023-07-14,2023-07-20,2023-08-10,19500.0,50,50,90.15,0.15,84.25,481.65,258.25,565.05,174.7,59.15,-3252.5000000000027,PRIMARY_VALID_SECONDARY_COMPLETE
