entry_date,near_expiry,far_expiry,expiry_regime,spot_open,status,status_detail,gate_pass,strike,entry_near_pe,entry_near_ce,entry_far_ce,entry_far_pe,exit_near_pe,exit_near_ce,exit_far_ce,exit_far_pe,lot_near,lot_far,call_ratio,put_ratio,calendar_balance_ratio,pnl_points,pnl_inr,fixed_status,event_status,event_signal_timestamp,event_strike,event_cbr,event_spot_close,event_atm_distance_points,event_atm_distance_pct,event_fill_timestamp,event_entry_near_ce,event_entry_near_pe,event_entry_far_ce,event_entry_far_pe,event_exit_near_ce,event_exit_near_pe,event_exit_far_ce,event_exit_far_pe,event_pnl_points,event_pnl_inr,event_delay_minutes,fixed_signal_timestamp,fixed_strike,fixed_cbr,fixed_spot_close,fixed_atm_distance_points,fixed_atm_distance_pct,fixed_fill_timestamp,fixed_entry_near_ce,fixed_entry_near_pe,fixed_entry_far_ce,fixed_entry_far_pe,fixed_exit_near_ce,fixed_exit_near_pe,fixed_exit_far_ce,fixed_exit_far_pe,fixed_pnl_points,fixed_pnl_inr,fixed_delay_minutes
2025-08-18,2025-08-21,2025-09-09,THURSDAY,24938.19921875,ANALYZED,GATE_FAIL,False,24950.0,138.2,102.6,340.35,218.3,0.15,137.1,365.0,127.65,75.0,75.0,3.3172514619883047,1.5795947901591898,2.100064828432357,-57.25,-4293.75,NO_TRIGGER,EXECUTABLE,2025-08-18 09:44:00,25000.0,1.1852030610649837,25001.6,1.5999999999985448,0.0063995904262069015,2025-08-18 09:45:00,451.1,21.0,619.9,109.05,83.55,0.05,320.2,147.4,8.550000000000026,641.2499999999995,30.0,,,,,,,,,,,,,,,,,,
2025-08-22,2025-08-28,2025-09-16,THURSDAY,25064.150390625,ANALYZED,GATE_PASS,True,25050.0,90.0,152.2,302.9,233.0,553.4,0.2,80.45,494.45,75.0,75.0,1.9901445466491456,2.588888888888889,0.7687253613666228,131.49999999999994,9862.5,NO_TRIGGER,NO_EXIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-29,2025-09-02,2025-09-23,TUESDAY,24466.69921875,ANALYZED,GATE_PASS,True,24450.0,81.55,165.0,404.65,202.5,0.25,128.4,372.45,150.6,75.0,75.0,2.452424242424242,2.483139178418148,0.9876306023194912,-24.99999999999997,-1874.9999999999995,NO_TRIGGER,EXECUTABLE,2025-08-29 09:19:00,24500.0,1.0845150561977839,24507.4,7.400000000001455,0.030194961521831994,2025-08-29 09:20:00,134.65,91.95,351.0,231.1,79.8,0.05,335.0,171.4,6.6499999999999915,498.75,5.0,,,,,,,,,,,,,,,,,,
2025-09-03,2025-09-09,2025-09-30,TUESDAY,24616.5,ANALYZED,GATE_FAIL,False,24600.0,140.0,144.95,336.9,249.95,0.15,265.2,458.85,106.45,75.0,75.0,2.3242497412901,1.7853571428571429,1.3018402231670894,5.3500000000000085,401.2500000000037,NO_TRIGGER,EXECUTABLE,2025-09-03 09:17:00,24550.0,1.1964924532000394,24548.65,1.3499999999985448,0.005499284074678423,2025-09-03 09:18:00,402.0,29.75,570.05,127.25,318.35,0.05,500.15,92.5,18.799999999999997,1410.0,3.0,,,,,,,,,,,,,,,,,,
2025-09-10,2025-09-16,2025-10-07,TUESDAY,24991.0,ANALYZED,GATE_FAIL,False,25000.0,140.0,112.0,295.15,233.9,0.15,231.65,457.3,95.55,75.0,75.0,2.635267857142857,1.6707142857142858,1.5773300555793073,41.00000000000004,3075.000000000004,NO_TRIGGER,EXECUTABLE,2025-09-10 09:43:00,25000.0,1.1587360778003224,25010.45,10.450000000000728,0.04178253490041454,2025-09-10 09:44:00,550.0,13.35,705.1,82.55,238.65,0.05,474.0,93.95,55.54999999999998,4166.25,29.0,,,,,,,,,,,,,,,,,,
2025-09-17,2025-09-23,2025-10-14,TUESDAY,25276.599609375,ANALYZED,GATE_FAIL,False,25300.0,112.8,133.0,335.9,214.7,126.05,0.15,246.35,215.55,75.0,75.0,2.525563909774436,1.9033687943262407,1.3268915185028245,55.69999999999999,4177.499999999999,NO_TRIGGER,EXECUTABLE,2025-09-17 09:21:00,25300.0,1.153120349182078,25308.1,8.099999999998545,0.03200556343620637,2025-09-17 09:22:00,139.75,91.1,346.7,186.7,0.05,130.15,241.95,215.15,45.54999999999998,3416.2499999999986,7.0,,,,,,,,,,,,,,,,,,
2025-10-01,2025-10-07,2025-10-28,TUESDAY,24620.55078125,ANALYZED,GATE_PASS,True,24600.0,87.2,178.65,396.0,229.5,0.1,511.45,683.5,49.55,75.0,75.0,2.216624685138539,2.631880733944954,0.8422207953990442,47.550000000000026,3566.250000000004,NO_TRIGGER,EXECUTABLE,2025-10-01 09:19:00,24600.0,1.0863874345549738,24620.5,20.5,0.08326394671107411,2025-10-01 09:20:00,1648.1,1.85,1745.0,12.25,507.5,0.05,683.9,49.15,40.80000000000005,3060.0,5.0,,,,,,,,,,,,,,,,,,
2025-10-08,2025-10-14,2025-11-04,TUESDAY,25079.75,ANALYZED,GATE_PASS,True,25100.0,90.0,140.0,343.2,200.1,0.25,52.45,337.95,188.75,75.0,75.0,2.4514285714285715,2.223333333333333,1.1025915613621762,3.9000000000000057,292.49999999999955,NO_TRIGGER,EXECUTABLE,2025-10-08 09:16:00,25100.0,1.021744052690388,25120.65,20.650000000001455,0.08220328693724666,2025-10-08 09:17:00,143.7,83.05,349.45,192.85,45.75,0.05,328.75,195.65,-8.550000000000011,-641.2500000000009,2.0,,,,,,,,,,,,,,,,,,
2025-10-23,2025-10-28,2025-11-18,TUESDAY,26057.19921875,ANALYZED,GATE_PASS,True,26050.0,86.0,140.0,394.05,233.65,123.2,0.55,290.95,269.65,75.0,75.0,2.814642857142857,2.7168604651162798,1.0359909510562195,37.54999999999996,2816.2500000000005,NO_TRIGGER,EXECUTABLE,2025-10-23 09:17:00,26000.0,0.9353921977050799,26013.4,13.400000000001455,0.05151191309095103,2025-10-23 09:18:00,411.0,25.85,624.6,135.55,0.05,63.6,320.0,240.3,39.349999999999966,2951.25,3.0,,,,,,,,,,,,,,,,,,
2025-10-29,2025-11-04,2025-11-25,TUESDAY,25982.0,ANALYZED,GATE_FAIL,False,26000.0,150.0,188.0,400.0,265.0,399.05,0.2,155.55,438.7,75.0,75.0,2.127659574468085,1.7666666666666666,1.2043356081894825,18.700000000000102,1402.5,EXECUTABLE,EXECUTABLE,2025-10-29 09:15:00,26000.0,1.032204115306439,26009.4,9.400000000001455,0.03614077987189806,2025-10-29 09:16:00,1091.65,4.75,1217.05,42.35,0.1,403.0,152.1,445.0,22.20000000000016,1665.0000000000146,1.0,2025-10-29 09:15:00,26000.0,1.032204115306439,26009.4,9.400000000001455,0.03614077987189806,2025-10-29 09:16:00,1091.65,4.75,1217.05,42.35,0.1,403.0,152.1,445.0,22.20000000000016,1665.0000000000146,1.0
